ajuntament;latitudlongitud
AYUNTAMIENTO DE SOT DE FERRER;39.8053785,-0.4104905
AYUNTAMIENTO DE TERESA;39.9002036,-0.657391092211128
AYUNTAMIENTO DE TORÁS;44.8654743,3.5633445
AYUNTAMIENTO DE EL TORO;41.5207994,-5.39424728576019
AYUNTAMIENTO DE VALL DE ALMONACID;39.903836,-0.4565887
AYUNTAMIENTO DE VILLANUEVA DE VIVER;40.0590126,-0.646640182177417
AYUNTAMIENTO DE VIVER;39.9209266,-0.595789949137525
AYUNTAMIENTO DE ATZENETA DEL MAESTRAT;40.2166007,-0.1709719
AYUNTAMIENTO DE BENAFIGOS;40.2765977,-0.2094169
AYUNTAMIENTO DE BENLLOCH;40.2112756,0.0270647
AYUNTAMIENTO DE CABANES;40.1560581,0.0453972077598558
AYUNTAMIENTO DE XODOS;40.2453615,-0.287475
AYUNTAMIENTO DE LA POBLA TORNESA;40.1026879,-0.0014726
AYUNTAMIENTO DE SIERRA ENGARCERÁN;40.269629,-0.0201044
AYUNTAMIENTO DE LES USERES;40.157285,-0.162458938710653
AYUNTAMIENTO DE LA VALL D'ALBA;40.1765885,-0.0362482
AYUNTAMIENTO DE VILAFAMÉS;40.1144831,-0.0542833
AYUNTAMIENTO DE VILANOVA D'ALCOLEA;40.2310706,0.0728256118662272
